|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
|Erkek ve 55-59 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|3764.0|1008.0|2025.0|1190.0|841.0|1510.0|3411.0|5732.0|1436.0|890.0|2910.0|3759.0|
|Erkek ve 55-59 ve Okuma Yazma Bilmeyen|2019|1926.0|776.0|923.0|668.0|605.0|1096.0|1455.0|3105.0|940.0|597.0|1769.0|1983.0|
|Erkek ve 55-59 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|39404.0|30474.0|20577.0|15177.0|13572.0|33018.0|41145.0|21279.0|7291.0|17146.0|12274.0|51746.0|
|Erkek ve 55-59 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|3050.0|5330.0|993.0|1150.0|691.0|2433.0|3873.0|924.0|281.0|857.0|543.0|7873.0|
|Erkek ve 55-59 ve Yüksekokul Veya Fakülte|2019|32603.0|40419.0|14630.0|13239.0|9180.0|24430.0|43400.0|9948.0|3634.0|11259.0|7354.0|46644.0|
|Erkek ve 55-59 ve İlkokul|2019|90400.0|57438.0|57918.0|43155.0|28330.0|66225.0|119078.0|41275.0|14782.0|34467.0|20518.0|107041.0|
|Erkek ve 55-59 ve İlköğretim|2019|39626.0|24046.0|20591.0|14980.0|11255.0|34503.0|42140.0|24015.0|6583.0|15973.0|11715.0|51563.0|
|Erkek ve 6-13 ve Bilinmeyen|2019|6512.0|4574.0|2039.0|1591.0|1800.0|4278.0|5061.0|4213.0|868.0|2523.0|1421.0|7014.0|
|Erkek ve 6-13 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|362667.0|238479.0|118160.0|88470.0|67242.0|234634.0|283508.0|430337.0|84811.0|123983.0|156950.0|455302.0|
|Erkek ve 6-13 ve Okuma Yazma Bilmeyen|2019|29.0|19.0|6.0|3.0|1.0|11.0|20.0|14.0|4.0|9.0|8.0|44.0|
