Last_Update,Test_numbers,Confirmed,Deaths,Recovered,Intubated,DailyConfirmed,DailyDeaths,DailyRecovered,DailyIntubated,General DailyIntubated,Total Death/Recovered,Total Confirmed/Recovered,Daily Death/Recovered,Daily Confirmed/Recovered,Daily Intubated/Recovered,Daily Death/Intubated,Daily Confirmed/Test
2020-05-04,35771,127659,3461,68166,727,1614,64,5015,0,-39,0.050773112695478684,1.872766481823783,0.012761714855433698,0.3218344965104686,0.0,0.0,0.04512034888596908
2020-05-05,33283,129491,3520,73285,707,1832,59,5119,0,-20,0.04803165722862796,1.766950944940984,0.011525688611056847,0.35788239890603635,0.0,0.0,0.05504311510380675
2020-05-06,30303,131744,3584,78202,669,2253,64,4917,0,-38,0.04583002992250838,1.6846627963479195,0.013016066707341876,0.4582062233068944,0.0,0.0,0.07434907434907435
2020-05-07,30395,133721,3641,82984,665,1977,57,4782,0,-4,0.04387592788971368,1.61140701822038,0.01191969887076537,0.4134253450439147,0.0,0.0,0.06504359269616714
2020-05-08,33687,135569,3689,86396,653,1848,48,3412,0,-12,0.04269873605259503,1.5691582943654798,0.01406799531066823,0.5416178194607268,0.0,0.0,0.05485795707542969
2020-05-09,35605,137115,3739,89480,628,1546,50,3084,0,-25,0.041785873938310236,1.5323535985695127,0.01621271076523995,0.5012970168612192,0.0,0.0,0.04342086785563825
2020-05-10,36187,138657,3786,92691,598,1542,47,3211,0,-30,0.04084538952001812,1.4959057513674467,0.014637184677670508,0.48022422921208346,0.0,0.0,0.04261198773040042
2020-05-11,32722,139771,3841,95780,578,1114,55,3089,0,-20,0.0401023178116517,1.4592921277928586,0.0178051149239236,0.3606345095500162,0.0,0.0,0.03404437381578143
2020-05-12,37351,141475,3894,98889,576,1704,53,3109,0,-2,0.03937748384552377,1.430644459950045,0.01704728208427147,0.5480862013509167,0.0,0.0,0.045621268506867284
2020-05-13,33332,143114,3952,101715,535,1639,58,2826,0,-41,0.03885365973553556,1.4070097822346752,0.020523708421797595,0.5799716914366596,0.0,0.0,0.049171966878675144
2020-05-14,34821,144749,4007,104030,508,1635,55,2315,0,-27,0.0385177352686725,1.391415937710276,0.023758099352051837,0.7062634989200864,0.0,0.0,0.0469544240544499
2020-05-15,38565,146457,4055,106133,490,1708,48,2103,0,-18,0.03820677828762025,1.3799383792034523,0.02282453637660485,0.8121730860675226,0.0,0.0,0.044288862958641255
2020-05-16,42236,148067,4096,108137,474,1610,41,2004,0,-16,0.03787787713733505,1.3692538169174289,0.020459081836327345,0.8033932135728543,0.0,0.0,0.038119140070082394
2020-05-17,35369,149435,4140,109962,468,1368,44,1825,0,-6,0.037649369782288424,1.3589694621778432,0.02410958904109589,0.7495890410958904,0.0,0.0,0.03867793830755747
2020-05-18,25141,150593,4171,111577,463,1158,31,1615,0,-5,0.03738225619975443,1.3496778009804888,0.019195046439628483,0.7170278637770898,0.0,0.0,0.046060220357185475
2020-05-19,25382,151615,4199,112895,455,1022,28,1318,0,-8,0.037193852694982064,1.3429735595021923,0.021244309559939303,0.7754172989377845,0.0,0.0,0.04026475455046884
2020-05-20,20838,152587,4222,113987,445,972,23,1092,0,-10,0.03703931150043426,1.3386351075122602,0.021062271062271064,0.8901098901098901,0.0,0.0,0.046645551396487184
2020-05-21,33633,153548,4249,114990,424,961,27,1003,0,-21,0.036951039220801805,1.3353161144447343,0.026919242273180457,0.9581256231306082,0.0,0.0,0.028573127583028574
2020-05-22,37507,154500,4276,116111,401,952,27,1121,0,-23,0.03682682949935837,1.3306232828930937,0.02408563782337199,0.8492417484388939,0.0,0.0,0.025381928706641427
2020-05-23,40178,155686,4308,117602,388,1186,32,1491,0,-13,0.03663203006751586,1.3238380299654768,0.021462105969148222,0.795439302481556,0.0,0.0,0.029518642042909056
2020-05-24,24589,156827,4340,118694,385,1141,32,1092,0,-3,0.036564611522065145,1.3212715048780899,0.029304029304029304,1.044871794871795,0.0,0.0,0.04640286306885193
2020-05-25,21492,157814,4369,120015,371,987,29,1321,0,-14,0.03640378286047578,1.314952297629463,0.02195306585919758,0.7471612414837244,0.0,0.0,0.04592406476828587
2020-05-26,19853,158762,4397,121507,338,948,28,1492,0,-33,0.03618721555136741,1.306607849753512,0.01876675603217158,0.6353887399463807,0.0,0.0,0.047750969626756665
2020-05-27,21043,159797,4431,122793,331,1035,34,1286,0,-7,0.036085118858566856,1.3013526829705275,0.026438569206842923,0.8048211508553654,0.0,0.0,0.04918500213847835
2020-05-28,33559,160979,4461,124369,339,1182,30,1576,8,8,0.03586906705047078,1.2943659593628638,0.01903553299492386,0.75,0.005076142131979695,3.75,0.035221550105783844
2020-05-29,36155,162120,4489,125963,324,1141,28,1594,0,-15,0.03563744909219374,1.287044608337369,0.01756587202007528,0.7158092848180677,0.0,0.0,0.03155856727976767
2020-05-30,39230,163103,4515,126984,308,983,26,1021,0,-16,0.035555660555660555,1.2844374094374094,0.025465230166503428,0.9627815866797258,0.0,0.0,0.025057354065765994
2020-05-31,35600,163942,4540,127973,287,839,25,989,0,-21,0.03547623326795496,1.2810671000914255,0.025278058645096056,0.8483316481294236,0.0,0.0,0.02356741573033708
2020-06-01,31525,164769,4563,128947,283,827,23,974,0,-4,0.035386631716906945,1.2778040590320054,0.023613963039014373,0.8490759753593429,0.0,0.0,0.026233148295003964
2020-06-02,32325,165555,4585,129921,271,786,22,974,0,-12,0.03529067664195935,1.2742743667305516,0.022587268993839837,0.8069815195071869,0.0,0.0,0.02431554524361949
2020-06-03,52305,166422,4609,130852,261,867,24,931,0,-10,0.035223000030568885,1.2718338275303396,0.02577873254564984,0.9312567132116004,0.0,0.0,0.016575853168913107
2020-06-04,54234,167410,4630,131778,265,988,21,926,4,4,0.035134848001942665,1.270394147733309,0.02267818574514039,1.0669546436285098,0.004319654427645789,5.25,0.018217354427112142
2020-06-05,57829,168340,4648,133400,269,930,18,1622,4,4,0.03484257871064468,1.2619190404797602,0.011097410604192354,0.5733662145499383,0.002466091245376079,4.5,0.01608189662626018
2020-06-06,35846,169218,4669,135322,264,878,21,1922,0,-5,0.03450288940453142,1.2504840306823723,0.010926118626430802,0.45681581685744016,0.0,0.0,0.024493667354795513
2020-06-07,35335,170132,4692,137969,274,914,23,2647,10,10,0.03400763939725591,1.233117584384898,0.008689081979599547,0.34529656214582544,0.0037778617302606727,2.3,0.025866704400735813
2020-06-08,39361,171121,4711,141380,261,989,19,3411,0,-13,0.03332154477295233,1.2103621445749044,0.0055702140134857815,0.28994429785986514,0.0,0.0,0.02512639414649018
2020-06-09,37225,172114,4729,144598,281,993,18,3218,20,20,0.032704463408899154,1.1902930884244596,0.005593536357986327,0.30857675574891236,0.006215040397762586,0.9,0.026675621222296844
2020-06-10,36521,173036,4746,146839,280,922,17,2241,0,-1,0.03232111360061019,1.1784062817099,0.007585899152164213,0.41142347166443555,0.0,0.0,0.025245749021111142
2020-06-11,49190,174023,4763,147860,266,987,17,1021,0,-14,0.03221290409847153,1.1769444068713648,0.01665034280117532,0.9666993143976493,0.0,0.0,0.02006505387273836
2020-06-12,41013,175218,4778,149102,282,1195,15,1242,16,16,0.03204517712706738,1.1751552628402033,0.012077294685990338,0.962157809983897,0.01288244766505636,0.9375,0.029137102869821765
2020-06-13,45092,176677,4792,150087,284,1459,14,985,2,2,0.031928148340629105,1.1771639115979398,0.014213197969543147,1.481218274111675,0.0020304568527918783,7.0,0.03235607203051539
2020-06-14,45176,178239,4807,151417,290,1562,15,1330,6,6,0.03174676555472635,1.1771399512604266,0.011278195488721804,1.174436090225564,0.004511278195488722,2.5,0.034575880998760404
2020-06-15,42032,179831,4825,152364,291,1592,18,947,1,1,0.03166758551888898,1.18027224278701,0.01900739176346357,1.6810982048574445,0.0010559662090813093,18.0,0.03787590407308717
2020-06-16,46800,181298,4842,153379,303,1467,17,1015,12,12,0.03156885883986726,1.182026222625001,0.016748768472906402,1.445320197044335,0.011822660098522168,1.4166666666666667,0.03134615384615384
2020-06-17,52901,182727,4861,154640,306,1429,19,1261,3,3,0.03143429901707191,1.1816282979824109,0.01506740681998414,1.133227597145123,0.0023790642347343376,6.333333333333333,0.027012721876713105
2020-06-18,48412,184031,4882,156022,311,1304,21,1382,5,5,0.031290459037828,1.1795195549345605,0.015195369030390739,0.9435600578871202,0.00361794500723589,4.2,0.0269354705444931
2020-06-19,41316,185245,4905,157516,310,1214,23,1494,0,-1,0.031139693745397292,1.1760392595037965,0.015394912985274432,0.8125836680053548,0.0,0.0,0.029383289766676347
2020-06-20,41112,186493,4927,158828,318,1248,22,1312,8,8,0.031020978668748582,1.1741821341325207,0.01676829268292683,0.9512195121951219,0.006097560975609756,2.75,0.030356100408639813
2020-06-21,40496,187685,4950,160240,327,1192,23,1412,9,9,0.030891163255117322,1.1712743384922617,0.016288951841359773,0.8441926345609065,0.006373937677053824,2.5555555555555554,0.02943500592651126
2020-06-22,41413,188897,4974,161533,345,1212,24,1293,18,18,0.030792469650164363,1.1694019178743662,0.018561484918793503,0.9373549883990719,0.013921113689095127,1.3333333333333333,0.02926617245792384
2020-06-23,42982,190165,5001,162848,362,1268,27,1315,17,17,0.030709618785616035,1.1677453821968953,0.02053231939163498,0.9642585551330799,0.012927756653992395,1.588235294117647,0.029500721232143687
2020-06-24,53486,191657,5025,164234,356,1492,24,1386,0,-6,0.030596587795462572,1.1669751695751185,0.017316017316017316,1.0764790764790764,0.0,0.0,0.027895150132745017
2020-06-25,52303,193115,5046,165706,369,1458,21,1472,13,13,0.030451522576128806,1.1654074083014496,0.014266304347826086,0.9904891304347826,0.008831521739130434,1.6153846153846154,0.027876030055637345
2020-06-26,51198,194511,5065,167198,382,1396,19,1492,13,13,0.030293424562494765,1.1633572171915931,0.012734584450402145,0.935656836461126,0.00871313672922252,1.4615384615384615,0.02726669010508223
2020-06-27,45213,195883,5082,169182,366,1372,17,1984,0,-16,0.030038656594673193,1.1578241184050313,0.008568548387096774,0.6915322580645161,0.0,0.0,0.030345254683387522
2020-06-28,48309,197239,5097,170595,381,1356,15,1413,15,15,0.029877780708696035,1.156182772062487,0.010615711252653927,0.9596602972399151,0.010615711252653927,1.0,0.02806930385642427
2020-06-29,51014,198613,5115,171809,375,1374,18,1214,0,-6,0.02977143222997631,1.1560104534686775,0.014827018121911038,1.1317957166392092,0.0,0.0,0.02693378288313012
2020-06-30,50492,199906,5131,173111,368,1293,16,1302,0,-7,0.02963994200253017,1.1547850800931194,0.01228878648233487,0.9930875576036866,0.0,0.0,0.025608017111621643
2020-07-01,52313,201098,5150,175422,362,1192,19,2311,0,-6,0.029357777245727447,1.1463670463225821,0.008221549112938122,0.5157940285590653,0.0,0.0,0.02278592319308776
